번호,구역 (Room),파일명 (MP3 저장명),화자 (캐릭터),성별 / 연령대,목소리 스타일 & 감정,타입캐스트 / 클로바 추천 보이스,재생 상황 / 학년,대사 전문 (더빙 스크립트),발음 및 녹음 가이드 (주의사항),작업 체크
1,인트로/시작,intro-sani.mp3,독이 (괭이갈매기),여 / 어린이 마스코트,"발랄함, 씩씩함, 친근함",타입캐스트 [하은] / 클로바 [다인],산이 선택 시 게임 시작,"산이 대원, 탐험을 시작하자! 출항 기지에서 이야기가 이어져. 걷기, 조사하기, 아이템 사용하기 순서로 탐험해 봐. 방향키로 이동하고 화면의 대상 가까이 다가가 조사 버튼을 눌러 봐. 지도에서 목적지 안내도 받을 수 있어. 좋아, 출발!","끝인사 '좋아, 출발!'을 신나고 힘차게 연기. 안내 조작법은 또박또박 전달.",[  ]
2,인트로/시작,intro-nari.mp3,독이 (괭이갈매기),여 / 어린이 마스코트,"발랄함, 씩씩함, 친근함",타입캐스트 [하은] / 클로바 [다인],나리 선택 시 게임 시작,"나리 대원, 탐험을 시작하자! 출항 기지에서 이야기가 이어져. 걷기, 조사하기, 아이템 사용하기 순서로 탐험해 봐. 방향키로 이동하고 화면의 대상 가까이 다가가 조사 버튼을 눌러 봐. 지도에서 목적지 안내도 받을 수 있어. 좋아, 출발!","끝인사 '좋아, 출발!'을 신나고 힘차게 연기. 안내 조작법은 또박또박 전달.",[  ]
3,인트로/시스템,save-found.mp3,독이,여 / 어린이 마스코트,"반가움, 다정함",타입캐스트 [하은] / 클로바 [다인],이전 저장 기록 발견 시,탐험 기록을 찾았어! 이전 기록으로 이어서 탐험하거나 새로운 마음으로 새 탐험을 시작할 수 있어.,'이어서 탐험하거나' 뒤에서 반 박자 자연스러운 호흡.,[  ]
4,시스템 공통,room-unlocked.mp3,독이 / 내레이션,여 / 밝은 어린이,"성취감, 기쁨, 칭찬",타입캐스트 [하은/찬우],2~5번 방 비밀문 해제 시,철컥! 비밀 문이 열렸어! 단서를 바르게 연결해 잠금장치를 해제했어. 열린 문으로 이동해 다음 탐험을 계속해 보자!,'철컥!'은 경쾌한 감탄사 톤으로 시작. '열린 문으로 이동해~'는 격려하듯.,[  ]
5,시스템 공통,final-signal.mp3,독이 / 내레이션,여/남 어린이,"벅찬 감동, 자부심, 완성",타입캐스트 [하은/찬우],6번 방 수호 신호 완성 시,"독도 수호 메시지 완성! 우리는 독도의 모습을 관찰하고, 역사 기록을 확인하고, 생물의 삶터를 보호하는 방법을 찾았어. 네가 모은 증거로 독도를 지키는 계획이 완성됐어!",마지막 문장 '계획이 완성됐어!'에서 성취감과 뿌듯함을 극대화.,[  ]
6,시스템 공통,cert-finish.mp3,축하 내레이션,여/남 공통 (신뢰감 있는 톤),"축하, 격려, 훈훈함",타입캐스트 [선호/하은],독도 탐험 완료증 수여 시,"축하합니다! 독도의 지형, 생태, 역사, 보전을 모두 탐구하고 독도 탐험을 완주했습니다. 탐험 완료증을 내려받아 모덕초 독도 수호대의 긍지를 간직해 주세요!",교장선생님 수료식 말씀처럼 정중하면서도 따뜻하고 명확하게 발음.,[  ]
7,1번 방 (출항 기지),doki-welcome.mp3,길잡이 독이,여 / 마스코트 새,"자기소개, 환영, 호기심 유발",타입캐스트 [하은] / 클로바 [다인],독이와의 첫 만남 대화,"안녕! 나는 괭이갈매기 길잡이 독이야. 모덕초등학교 독도 수호대에 온 걸 환영해! 여기는 독도를 지키는 방법을 배우는 가상 체험 기지야. 우리 함께 여섯 개 방의 비밀을 풀어 볼까? 독도의 모습과 자연, 역사를 살펴보고, 숨겨진 단서를 모아 줘. 마지막 통신실에서 우리의 독도 보호 계획을 완성하는 거야. 자, 먼저 탐험 수첩을 받아 줘!",초등학생 눈높이에서 친근하게 말 걸듯 연기. '여섯 개 방의 비밀'에서 기대감 부여.,[  ]
8,1번 방 (출항 기지),room1-map.mp3,길잡이 독이,여 / 마스코트 새,"친절한 설명, 차분함",타입캐스트 [하은],지도 보관함 조사,지도 속 독도를 찾아볼까? 독도는 우리나라 동해에 있어. 울릉도에서 동남쪽으로 약 87.4킬로미터 떨어져 있지. 이 그림은 위치와 방향을 설명하는 개념도야. 실제 거리와 섬의 크기를 그대로 줄인 지도는 아니야. 탐험 지도를 챙기고 독도가 어느 쪽에 있는지 살펴보자.,★ '87.4킬로미터'는 반드시 '팔십칠 점 사 킬로미터'로 읽기.,[  ]
9,1번 방 (출항 기지),room1-scope.mp3,길잡이 독이,여 / 마스코트 새,"발견의 기쁨, 도구 안내",타입캐스트 [하은],탐사 장비함(쌍안경) 조사,"탐사 장비함에서 쌍안경을 찾았어! 쌍안경은 멀리 있는 섬의 모습이나 생물을 관찰하는 도구야. 가방에서 쌍안경을 선택하고, 관찰할 대상에 다가가 사용해 봐. 생물은 놀라지 않게 멀리서 조용히 관찰하자.",'조용히 관찰하자' 부분에서 소리를 살짝 낮추어 느낌 살리기.,[  ]
10,1번 방 (출항 기지),room1-depart-grade1.mp3,길잡이 독이,여 / 마스코트 새,"쉬운 유도, 다정함",타입캐스트 [하은],1~2학년 출항 경로 해독판,"이제 출항 경로를 확인해 보자. 그림에서 우리나라와 울릉도, 독도를 찾아봐. 독도가 있는 바다의 이름은 무엇일까? 지도의 글자를 살펴보고 답을 골라 줘.",저학년용이므로 어휘 하나하나 부드럽고 천천히 발음.,[  ]
